parasite_index,connected_localities
14488,Asia
17352,Africa
9978,Asia
18423,Africa
18431,Africa
18446,Africa
13772,North America
11856,Asia
18823,Africa
9604,North America
12142,Europe
9608,Asia
19034,Africa
19154,Africa
19444,Africa
19446,Africa
21928,Europe
19697,Asia
22075,Africa
19523,Asia
20385,Europe
22162,Africa
22230,Asia
22242,Asia
22259,Asia
22757,Asia
22178,Asia
20473,Europe
19529,North America
20333,North America
23473,North America
20369,Asia
23603,Africa
23623,Africa
23625,Africa
23628,Africa
23283,Africa
23746,North America
23503,Africa
23943,Asia
23947,Africa
23965,Asia
24015,Europe
24064,Africa
24065,Africa
24118,Africa
24120,Asia
24122,Asia
24123,Africa
20808,Africa
23288,Asia
22226,Africa
19488,Asia
24130,Africa
24133,Asia
24136,Asia
24138,Asia
24139,Africa
24140,Africa
24142,Asia
24143,Africa
22175,Europe
23178,Europe
19525,Asia
24173,Africa
20199,North America
24178,Asia
24196,Asia
22013,Asia
22014,Asia
24241,Africa
24249,Africa
23203,North America
24316,Africa
21289,Europe
24353,Africa
24354,Africa
24355,Africa
24364,Asia
24399,Asia
24405,Asia
24419,Africa
24421,Asia
24466,Asia
24482,Africa
24613,Asia
24614,Africa
24615,Asia
22132,Asia
24651,Africa
24652,Africa
24653,Africa
24654,Europe
23266,Europe
24655,Africa
24657,Africa
24658,Africa
25186,Africa
23742,South America
23138,Europe
22146,Europe
25266,Africa
25369,Africa
20500,Europe
25761,Africa
25817,Africa
25838,Africa
25880,Africa
25890,Africa
25894,Africa
25945,Asia
25953,Africa
19684,Asia
26050,Africa
26060,Africa
24141,Asia
26088,Africa
26089,Asia
26098,Asia
25505,Africa
26111,Africa
26115,Africa
22021,Asia
26153,Asia
26154,Asia
26157,Europe
26164,Africa
26175,Asia
26190,Asia
24918,Asia
24413,Asia
26212,Asia
23241,Asia
22106,Asia
26281,Europe
26300,Asia
26302,Europe
26309,Asia
26643,Africa
26717,Asia
26718,Africa
26720,Asia
26901,Africa
23293,North America
27033,Africa
27071,Asia
27091,Africa
27674,Africa
25831,Africa
27708,Africa
21646,Europe
27749,Africa
27751,Africa
27868,Africa
19477,North America
26400,North America
27932,Africa
22961,Europe
23635,Africa
28269,Africa
28356,Africa
28360,Africa
26322,Africa
28513,Asia
28514,Africa
28545,Africa
28570,Africa
28584,Africa
28615,Africa
28624,Africa
22243,Asia
22025,Asia
28637,Africa
20088,Europe
28675,Asia
28692,Africa
24418,Africa
28731,Africa
28732,Africa
28741,Asia
22199,Africa
28752,Africa
28753,Africa
28754,Africa
28764,Asia
28796,Africa
23664,Africa
19476,North America
23424,North America
30236,North America
24058,Europe
50,North America
2853,North America
2867,Europe
2889,Europe
2914,North America
19504,Europe
52,Australia
54,Europe
63,North America
66,North America
67,Europe
342,Pacific Ocean
2024,North America
2908,North America
2929,North America
2933,Europe
6857,North America
9573,Europe
9595,North America
9605,North America
19492,North America
19503,Europe
19450,North America
22639,North America
19517,Europe
3003,Europe
3586,Europe
5927,Europe
5121,Europe
6335,Europe
2982,Europe
6064,Europe
5960,Europe
13599,Europe
13625,Europe
13648,Europe
9586,Europe
10202,Europe
15070,Europe
23478,Europe
30294,Europe
25271,Europe
20055,North America
25305,Europe
30381,Europe
26341,Europe
30491,Europe
26475,Europe
30494,Europe
76,North America
517,Europe
645,Europe
647,Europe
89,Europe
1142,Europe
1172,Asia
1349,North America
1350,North America
1458,North America
382,North America
725,Europe
388,Europe
1507,North America
2869,North America
2925,Europe
2954,North America
3649,Europe
3709,Asia
2878,North America
3883,Europe
2800,North America
4495,Europe
3300,Europe
2943,Europe
3967,Europe
4125,Europe
4132,Europe
10151,Europe
9730,Atlantic Ocean
10740,Europe
10761,North America
10928,North America
13294,North America
13620,Europe
13658,North America
13665,North America
9670,North America
10138,Europe
15390,Europe
15391,Europe
13292,Europe
10739,Europe
10200,Europe
11820,Europe
17733,Europe
14356,Europe
10169,North America
23355,North America
19451,North America
19483,North America
20031,Europe
20782,North America
19543,North America
20008,Europe
24340,Europe
25360,Europe
20003,Europe
20035,Europe
25859,Europe
20037,Europe
23201,Europe
21784,Europe
19542,Europe
20364,Europe
19385,Europe
21716,Europe
28182,North America
23368,North America
335,Atlantic Ocean
363,Pacific Ocean
364,Europe
3271,Pacific Ocean
3272,Pacific Ocean
3273,Pacific Ocean
3295,Pacific Ocean
10190,Europe
10192,Europe
10209,Pacific Ocean
18190,Atlantic Ocean
10182,Europe
18343,Pacific Ocean
10194,Pacific Ocean
10210,Atlantic Ocean
2526,North America
2528,North America
3270,North America
3278,Arctic Ocean
3840,North America
8681,North America
10144,Atlantic Ocean
10185,North America
10191,North America
10741,Europe
10872,Pacific Ocean
10873,North America
19501,Pacific Ocean
20812,North America
21534,North America
21727,North America
25380,North America
19510,North America
29750,North America
19425,Atlantic Ocean
