# index, name, full_name, locality, group, is_host, _pos
76,Echinorhynchus salmonis,,,Teleostei,0,"array([31.39759889, 13.74952452])"
77,Catostomus commersonii,"Cotylurus michiganensis (La Rue, 1927)",United States,Trematoda,1,"array([25.09187093,  6.22118042])"
78,Coregonus artedi,"Tetracotyle intermedia Hughes, 1928",Ontario,Trematoda,1,"array([27.75262257, 11.02377562])"
79,Coregonus clupeaformis,"Crepidostomum metoecus (Braun, 1900)",Yukon + Northwest Territories,Trematoda,1,"array([27.43154068, 10.27631693])"
80,Esox lucius,"Tylodelphys podicipina Kozicka & Niewiadomska, 1960",Western Europe,Trematoda,1,"array([28.70043846,  5.6678501 ])"
81,Oncorhynchus kisutch,"Nanophyetus salmincola salmincola (Chapin, 1926)",United States,Trematoda,1,"array([32.11069686, 16.34336556])"
82,Osmerus mordax,"Brachyphallus crenatus (Rudolphi, 1802)",Pacific Ocean,Trematoda,1,"array([29.5648536 , 14.19694329])"
83,Pungitius pungitius,"Bunodera eucaliae (Miller, 1936)",Ontario,Trematoda,1,"array([29.76815825, 11.94599879])"
84,Salvelinus namaycush,"Crepidostomum metoecus (Braun, 1900)",Yukon + Northwest Territories,Trematoda,1,"array([27.91080879, 12.70799513])"
85,Sander vitreus,"Sanguinicola occidentalis Van Cleave & Mueller, 1932",United States,Trematoda,1,"array([23.67462953,  5.31164375])"
86,Numenius americanus,"Cyclocoelum obscurum (Leidy, 1887)",United States,Trematoda,1,"array([ -4.73832461, -21.17311543])"
87,Mediorhynchus robustus,,,Aves,0,"array([-15.45380879, -33.41699451])"
88,Neoechinorhynchus cristatus,,,Teleostei,0,"array([27.22944209,  7.32053973])"
89,Neoechinorhynchus rutili,,,Teleostei,0,"array([28.52681964,  7.62817355])"
90,Neoechinorhynchus strigosus,,,NA,0,"array([25.3748633 , 11.30373616])"
91,Aechmophorus occidentalis,"Petasiger pseudoneocomense Bravo-Hollis, 1969",Mexico,Trematoda,1,"array([9.13339953e+00, 7.13518036e-03])"
92,Polymorphus marilis,,,NA,0,"array([3.00390189, 0.12278823])"
93,Tringa semipalmata,"Testiculoporus cedarkeyensis Kinsella & Deblock, 1997",United States,Trematoda,1,"array([-4.83576159, -2.54940263])"
94,Gammarus lacustris,"Crepidostomum metoecus (Braun, 1900)",Lake Baikal,Trematoda,1,"array([12.80547942, -0.23784554])"
95,Podiceps nigricollis,"Schiginella colymbi (Shigin, 1956)","Ukraine, incl. Moldavia",Trematoda,1,"array([7.21197045, 1.50451285])"
96,Anas platyrhynchos,"Metorchis xanthostomus (Creplin, 1846)",Yugoslavia,Trematoda,1,"array([  6.63076087, -13.53190387])"
97,Polymorphus paradoxus,,,Mammalia,0,"array([ 11.94279381, -23.79729131])"
98,Pomphorhynchus bulbocolli,,,Teleostei,0,"array([22.30443455,  6.43284938])"
99,Ptychocheilus oregonensis,"Tylodelphys scheuringi (Hughes, 1929)",Canada,Trematoda,1,"array([26.99130414,  4.34678587])"
100,Egretta sacra,"Austrobilharzia terrigalensis Johnston, 1916",Pacific Ocean,Trematoda,1,"array([53.46525486,  1.31986554])"
101,Southwellina sacra,,,Aves,0,"array([60.73070413,  0.77821927])"
102,Chaenocephalus aceratus,"Neolebouria antarctica (Szidat & Graefe, 1967)",Southwest Atlantic,Trematoda,1,"array([24.70652136, 41.47660955])"
103,Andracantha baylisi,,,Teleostei,0,"array([19.11795718, 43.67171015])"
104,Chionis albus,"Parorchis acanthus (Nicoll, 1906)",Oceanic Islands,Trematoda,1,"array([ 5.34726988, 32.66873044])"
105,Notothenia coriiceps,"Stenakron kerguelense Prudhoe & Bray, 1973",Southwest Indian Ocean,Trematoda,1,"array([24.17169044, 40.88871092])"
106,Notothenia rossii,"Opechona magnatestis Gaevskaya & Kovaleva, 1976",Southwest Indian Ocean,Trematoda,1,"array([24.47142839, 42.80707665])"
107,Parachaenichthys georgianus,"Neolebouria antarctica (Szidat & Graefe, 1967)",Southwest Atlantic,Trematoda,1,"array([22.56668532, 42.5439935 ])"
108,Leucocarbo albiventer,"Andracantha baylisi (Zdzitowiecki, 1986)",Antarctic Ocean,Acanthocephala,1,"array([ 6.30863963, 56.23615811])"
109,Gypsophoca dorifera,"Andracantha clavata (Goss, 1940)",Antarctic Ocean,Acanthocephala,1,"array([63.17965523, 14.92268487])"
110,Andracantha clavata,,,Teleostei,0,"array([47.94696142, 17.45141456])"
111,Microcarbo melanoleucus,"Andracantha clavata (Goss, 1940)",Antarctic Ocean,Acanthocephala,1,"array([59.92970855, 14.24795562])"
112,Phalacrocorax ater,"Haplorchis taichui (Nishigori, 1926)",Philippines,Trematoda,1,"array([45.29717369, -8.48135696])"
113,Leucocarbo atriceps,"Contracaecum rudolphii Hartwich, 1964",Southern S. America,Nematoda,1,"array([22.58745658, 26.49808206])"
114,Leucocarbo colensoi,"Andracantha clavata (Goss, 1940)",Antarctic Ocean,Acanthocephala,1,"array([64.2781961 , 15.41202448])"
115,Phalacrocorax varius,"Mesostephanus scottae Cribb, Barker & Beuret, 1995",Queensland,Trematoda,1,"array([55.12826413, 12.60511281])"
116,Leucocarbo verrucosus,"Corynosoma clavatum Goss, 1940",Oceanic Islands,Acanthocephala,1,"array([47.03903403, 12.27383464])"
