,src,trg,nij,score,sdev_cij
4429,2764,13371,0.7070878155103317,0.9640523458629241,0.027478839738995255
4430,2764,15175,0.7070878155103317,0.9611422546476055,0.029825102179096185
4431,2764,15176,0.7070878155103317,0.9582407743042811,0.032160874119839256
4432,2764,15177,0.7070878155103317,0.9553478666704466,0.03448621412452888
4433,2764,15178,0.7070878155103317,0.9524634938087746,0.03680118035037524
4434,2764,15179,0.7070878155103317,0.9495876180054569,0.03910583055188269
4435,2764,15180,0.7070878155103317,0.9467202017685598,0.04140022208420517
4436,2764,15181,0.7070878155103317,0.9438612078263956,0.0436844119064687
4437,2764,15182,0.7070878155103317,0.9410105991259076,0.04595845658506169
4438,2764,15183,0.7070878155103317,0.9381683388310688,0.04822241229689308
4439,2764,15184,0.7070878155103317,0.9353343903212958,0.05047633483261889
4440,2764,15185,0.7070878155103317,0.932508717189876,0.052720279599837425
4441,2764,19242,0.7070878155103317,0.9224913350673317,0.06064798571718302
4442,2764,19243,0.7070878155103317,0.9197030133321841,0.06284703827365558
4443,2764,19244,0.7070878155103317,0.9169227680736888,0.0650364147544347
4444,2764,19245,0.7070878155103317,0.9141505642518748,0.06721616812814929
4445,2764,19246,0.7070878155103317,0.9113863670291737,0.06938635100357461
4446,2764,19247,0.7070878155103317,0.9086301417689613,0.07154701563257314
4447,2764,19248,0.7070878155103317,0.9058818540341094,0.07369821391300703
4448,2764,19249,0.7070878155103317,0.9031414695855526,0.07583999739162307
4449,2764,19250,0.7070878155103317,0.9004089543808669,0.07797241726690986
4450,2764,19253,0.7070878155103317,0.8945479566581365,0.08253542760930915
4451,2764,19254,0.7070878155103317,0.8918400451771529,0.0846386403411636
4452,2764,19255,0.7070878155103317,0.8891398635809065,0.08673269851352082
4453,2764,19256,0.7070878155103317,0.8864473788184877,0.088817651574029
4454,2764,19257,0.7070878155103317,0.8837625580271415,0.09089354863907527
4455,2764,19258,0.7070878155103317,0.8810853685309297,0.09296043849645427
4456,2764,19259,0.7070878155103317,0.878415777839406,0.09501836960801212
4457,2764,19260,0.7070878155103317,0.8757537536463013,0.09706739011226474
4458,2765,2766,0.7070878155102622,0.9709058830076063,0.02197842237577553
4459,2765,2771,0.5772883217354536,0.9881239832882642,0.008889721827607855
4460,2765,2772,0.9999999999999999,0.9804308945467669,0.011843816418017081
4461,2765,11823,0.7070878155103317,0.9901065303862984,0.006368050067944724
4462,2765,13364,0.7070878155103317,0.9851841784525064,0.010384658523644816
4463,2765,13365,0.7070878155103317,0.9823119929723523,0.012723676221686143
4464,2765,13366,0.7070878155103317,0.9794481065018058,0.01505250613553023
4465,2765,13367,0.7070878155103317,0.9765924831235133,0.017371203773185424
4466,2765,13368,0.7070878155103317,0.9737450871270855,0.019679824266809542
4467,2765,13369,0.7070878155103317,0.9709058830076083,0.021978422375772785
4468,2765,13370,0.7070878155103317,0.9680748354641676,0.02426705248969147
4469,2765,13371,0.7070878155103317,0.965251909398386,0.026545768631432813
4470,2765,15175,0.7070878155103317,0.9624370699129724,0.028814624460091132
4471,2765,15176,0.7070878155103317,0.959630282310284,0.0310736732739357
4472,2765,15177,0.7070878155103317,0.9568315120909004,0.03332296801333066
4473,2765,15178,0.7070878155103317,0.9540407249522105,0.03556256126362727
4474,2765,15179,0.7070878155103317,0.9512578867870105,0.03779250525802874
4475,2765,15180,0.7070878155103317,0.948482963682115,0.040012851880427955
4476,2765,15181,0.7070878155103317,0.9457159219169792,0.04222365266821851
4477,2765,15182,0.7070878155103317,0.9429567279623327,0.0444249588150791
4478,2765,15183,0.7070878155103317,0.9402053484788255,0.04661682117373185
4479,2765,15184,0.7070878155103317,0.9374617503156852,0.04879929025867464
4480,2765,15185,0.7070878155103317,0.9347259005093854,0.05097241624888778
4481,2765,19242,0.7070878155103317,0.9250248359935602,0.05865247960057107
4482,2765,19243,0.7070878155103317,0.9223239727933057,0.06078354787005615
4483,2765,19244,0.7070878155103317,0.91963067774658,0.06290554646794606
4484,2765,19245,0.7070878155103317,0.9169449190875324,0.06501852343477907
4485,2765,19246,0.7070878155103317,0.9142666652278384,0.06712252649525859
4486,2765,19247,0.7070878155103317,0.9115958847554613,0.06921760306075087
4487,2765,19248,0.7070878155103317,0.9089325464334241,0.07130380023175992
4488,2765,19249,0.7070878155103317,0.906276619198592,0.07338116480037922
4489,2765,19250,0.7070878155103317,0.9036280721604644,0.07544974325272093
4490,2765,19253,0.7070878155103317,0.8979463481282741,0.07987713909565568
4491,2765,19254,0.7070878155103317,0.8953208824352942,0.08191830175513272
4492,2765,19255,0.7070878155103317,0.8927026704225538,0.08395086820742155
4493,2765,19256,0.7070878155103317,0.8900916820706398,0.08597488339910607
4494,2765,19257,0.7070878155103317,0.887487887525558,0.08799039198525511
4495,2765,19258,0.7070878155103317,0.8848912570975956,0.0899974383316965
4496,2765,19259,0.7070878155103317,0.882301761260193,0.09199606651727026
4497,2765,19260,0.7070878155103317,0.8797193706488242,0.09398632033606125
4498,2766,2768,0.7070878155103667,0.9985643063578556,0.0007327197310023854
4499,2766,2769,0.7070878155104269,0.9985643063578556,0.0007327197310023285
4500,2766,2770,0.7070878155102625,0.9980088806857907,0.0010827603220158364
4501,2766,2772,0.7070878155102622,0.9972249711204998,0.0015766098213956187
4502,2769,2771,0.5772883217356426,0.9985707283133296,0.0008745204641781438
4503,2769,11848,0.7070878155104804,0.9995058445107674,0.00012148601184582256
4504,2769,18013,0.7070878155104804,0.9979679348956353,0.0011457671563473678
4505,2769,18014,0.7070878155104804,0.9976191892318313,0.0013779183027456791
4506,2769,19269,0.7070878155104804,0.9964207656971488,0.002175337357290123
4507,2771,2772,0.5772883217354536,0.9933666996193069,0.005147590039745289
4508,2771,11814,0.6122738682055572,0.9981212971329437,0.0011468767004316062
4509,2771,11825,0.5772883217354982,0.9981775852303756,0.0011452861586261263
4510,2771,17807,0.5475903108070914,0.9946971703841658,0.004177087737189273
4511,2771,17812,0.6122738682055572,0.9921698041919472,0.005918990380722952
4512,2771,17813,0.6122738682055572,0.9915196711960601,0.0064393781601179015
4513,2771,19073,0.5772883217356549,0.9919602713184504,0.006315715226877323
4514,2771,19251,0.7070498765271144,0.9826061856874679,0.012364752982706376
4515,2771,19252,0.7070498765271144,0.9820485665418442,0.012770008888521023
4516,2772,11823,0.7070878155103317,0.990897399054057,0.005843710373032543
