Unnamed: 0,src,trg,nij,score
371,3,4130,0.1724137931034482,0.0862068965517241
621,11,2208,0.1388888888888889,0.0694444444444444
622,11,16641,0.1388888888888889,0.0694444444444444
623,11,16410,0.1527777777777778,0.0763888888888889
994,14,10600,0.1287878787878787,0.0643939393939393
1052,14,3977,0.1287878787878787,0.0643939393939393
1054,14,21895,0.1287878787878787,0.0643939393939393
1086,14,10608,0.1287878787878787,0.0643939393939393
1090,14,21839,0.1717171717171717,0.0858585858585858
1168,14,20551,0.1717171717171717,0.0858585858585858
1169,14,21084,0.0883838383838383,0.0441919191919191
1171,14,27283,0.1287878787878787,0.0643939393939393
1176,14,21416,0.103030303030303,0.0515151515151515
1177,14,25584,0.103030303030303,0.0515151515151515
1501,16,10559,0.0875,0.04375
1510,16,15557,0.075,0.0375
1630,20,22544,0.0741439909297052,0.0370719954648526
1662,20,25773,0.1285714285714285,0.0642857142857142
1710,42,19463,0.1265432098765432,0.0632716049382716
1711,45,19521,0.1607142857142857,0.0803571428571428
2132,50,2853,0.089430894308943,0.0447154471544715
2135,50,2914,0.089430894308943,0.0447154471544715
2279,52,110,0.1078392094017094,0.0539196047008547
2285,52,22049,0.1944444444444444,0.0972222222222222
2287,52,936,0.135042735042735,0.0675213675213675
2298,52,21989,0.1354166666666666,0.0677083333333333
2299,52,21993,0.1354166666666666,0.0677083333333333
2301,52,8766,0.1083333333333333,0.0541666666666666
2302,52,18310,0.1083333333333333,0.0541666666666666
2303,52,16561,0.1083333333333333,0.0541666666666666
3428,58,9381,0.0722135007849293,0.0361067503924646
3431,58,1874,0.1010989010989011,0.0505494505494505
4049,58,10688,0.1263736263736263,0.0631868131868131
4102,58,2539,0.1021978021978022,0.0510989010989011
4307,58,4963,0.0842490842490842,0.0421245421245421
4309,58,30418,0.0842490842490842,0.0421245421245421
4440,58,24965,0.1263736263736263,0.0631868131868131
4710,63,20082,0.1375,0.06875
5641,67,5413,0.0863095238095238,0.0431547619047619
6143,69,9386,0.0921052631578947,0.0460526315789473
6144,69,9379,0.087719298245614,0.043859649122807
6145,69,9424,0.087719298245614,0.043859649122807
6146,69,30425,0.087719298245614,0.043859649122807
6765,72,10654,0.0719656283566057,0.0359828141783028
6794,72,20561,0.1259398496240601,0.06296992481203
6825,72,14664,0.1259398496240601,0.06296992481203
6955,72,1714,0.0839598997493734,0.0419799498746867
6956,72,1715,0.0839598997493734,0.0419799498746867
6967,72,24899,0.1007518796992481,0.050375939849624
7671,76,23346,0.1688034188034188,0.0844017094017094
7700,76,27848,0.1012820512820512,0.0506410256410256
7745,87,15534,0.0729166666666666,0.0364583333333333
7747,87,26409,0.0729166666666666,0.0364583333333333
8733,89,9270,0.1261792452830188,0.0630896226415094
8738,89,19309,0.1009433962264151,0.0504716981132075
9483,97,13638,0.075,0.0375
9484,97,13841,0.075,0.0375
9485,97,23479,0.075,0.0375
9852,98,21196,0.126865671641791,0.0634328358208955
10066,98,23452,0.0845771144278606,0.0422885572139303
10088,98,30454,0.1287313432835821,0.064365671641791
10095,98,30234,0.1691542288557213,0.0845771144278606
10096,101,21920,0.2857142857142857,0.1428571428571428
10169,110,22049,0.1041666666666666,0.0520833333333333
10381,131,21109,0.1399999999999999,0.0699999999999999
10407,131,19562,0.2083333333333333,0.1041666666666666
10646,149,18351,0.0739795918367346,0.0369897959183673
10647,149,28973,0.0739795918367346,0.0369897959183673
10648,149,11773,0.0922619047619047,0.0461309523809523
10657,149,21635,0.1035714285714285,0.0517857142857142
10717,149,7407,0.1294642857142857,0.0647321428571428
10745,149,18257,0.0870535714285714,0.0435267857142857
10959,188,224,0.0757653390819276,0.0378826695409638
11073,188,3082,0.1022222222222222,0.0511111111111111
11075,188,21635,0.1022222222222222,0.0511111111111111
11245,204,3082,0.1025641025641025,0.0512820512820512
11246,204,7656,0.1182692307692307,0.0591346153846153
11280,204,7653,0.1282051282051282,0.0641025641025641
11691,217,29515,0.1111111111111111,0.0555555555555555
11692,217,2588,0.125,0.0625
11693,217,19600,0.0911458333333333,0.0455729166666666
11949,227,2432,0.23316903004403,0.116584515022015
12031,229,19463,0.1257716049382716,0.0628858024691358
12032,229,19690,0.1375,0.06875
12033,229,19759,0.1298076923076923,0.0649038461538461
12365,235,1089,0.1333333333333333,0.0666666666666666
13335,237,2336,0.2545454545454545,0.1272727272727272
13337,237,17013,0.1696969696969696,0.0848484848484848
13341,237,19272,0.1272727272727272,0.0636363636363636
13358,237,19233,0.2545454545454545,0.1272727272727272
13359,240,9616,0.09375,0.046875
13360,240,9681,0.125,0.0625
13361,240,19709,0.125,0.0625
13362,240,19728,0.1111111111111111,0.0555555555555555
13363,240,19731,0.125,0.0625
13382,244,19801,0.0735930735930735,0.0367965367965367
13530,244,4245,0.103030303030303,0.0515151515151515
13531,244,10757,0.103030303030303,0.0515151515151515
13590,244,3926,0.1717171717171717,0.0858585858585858
13591,244,4233,0.1717171717171717,0.0858585858585858
13810,244,2549,0.0858585858585858,0.0429292929292929
13811,244,14711,0.0858585858585858,0.0429292929292929
13813,244,25089,0.0858585858585858,0.0429292929292929
13894,248,321,0.1024390243902439,0.0512195121951219
13895,248,3164,0.2,0.1
13896,248,10817,0.103125,0.0515625
13897,248,27563,0.15,0.075
13898,252,22262,0.5,0.25
13899,254,12090,0.5,0.25
13931,258,788,0.3,0.15
13965,264,10115,0.1,0.05
13969,264,20806,0.075,0.0375
13992,266,16584,0.2222222222222222,0.1111111111111111
13993,266,19996,0.1388888888888889,0.0694444444444444
14223,272,27566,0.0833333333333333,0.0416666666666666
14224,272,29905,0.0833333333333333,0.0416666666666666
14228,274,1217,0.25,0.125
14229,274,1236,0.25,0.125
14230,274,1251,0.25,0.125
14231,276,296,0.0909090909090909,0.0454545454545454
14233,276,2550,0.0909090909090909,0.0454545454545454
14235,276,15271,0.0909090909090909,0.0454545454545454
14238,276,19907,0.0909090909090909,0.0454545454545454
14239,276,19926,0.0909090909090909,0.0454545454545454
14240,276,22458,0.0909090909090909,0.0454545454545454
14262,277,1241,0.09375,0.046875
14267,277,26969,0.09375,0.046875
14287,281,12032,0.5,0.25
